LongerDesign-lesstriangles2-front
25m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0      -1.6329      0.37564       0.1062      0.26944    -0.048215      -8.1811     -0.69871      -7.4824     -0.71876     -0.24238    -0.059921     -0.18246       -4.347      -5.5549           -1         6296      -1126.6       -38157         6296      -1126.6       -38157            0            0            0       24.364      -1.5811           25      -12.955       8397.7       -29058       2831.9     0.040177     -0.24936     0.021412            0      -4560.2      0.49234      0.94503    -0.065606            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.5813      0.33612     0.083707      0.25241    -0.045299      -7.7417      -0.5507       -7.191     -0.69839     -0.21824    -0.047351     -0.17089      -4.7045      -5.9158           -1       5898.2      -1058.5       -36950       5898.2      -1058.5       -36950            0            0            0       24.454      -1.4847           25          -12       8159.7       -27497       2549.9      0.04059     -0.24924     0.020716            0        -4282      0.46294      0.94596    -0.064185            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0       -1.529      0.30235     0.066527      0.23582    -0.042466      -7.3378     -0.43768      -6.9002     -0.67756     -0.19714    -0.037484     -0.15965      -5.0569       -6.253           -1       5510.5      -992.31       -35728       5510.5      -992.31       -35728            0            0            0       24.525      -1.4046           25      -11.186       7916.3       -26063       2303.3     0.040976     -0.24913         0.02            0      -4051.1      0.43377      0.94663    -0.062651            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0       -1.476      0.26995     0.050273      0.21968    -0.039717      -6.9408     -0.33074        -6.61     -0.65626     -0.17675    -0.028008     -0.14874      -5.4676      -6.6426           -1       5133.4      -928.09       -34490       5133.4      -928.09       -34490            0            0            0       24.592      -1.3222           25      -10.365       7667.5       -24652       2065.1     0.041333     -0.24902     0.019264            0      -3813.5      0.40518        0.947    -0.061007            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.4224      0.23836      0.03435      0.20401    -0.037056      -6.5467     -0.22599      -6.3208     -0.63452     -0.15679    -0.018621     -0.13817      -5.9675      -7.1171           -1         4767       -865.9       -33237         4767       -865.9       -33237            0            0            0       24.656      -1.2341           25      -9.5129       7413.4       -23253       1831.9     0.041658     -0.24891     0.018506            0      -3559.3      0.37725      0.94704    -0.059254            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.3682      0.21424     0.025433      0.18881    -0.034484      -6.1999     -0.16733      -6.0325     -0.61232     -0.14134    -0.013385     -0.12795       -6.386      -7.4696           -1         4412       -805.8       -31970         4412       -805.8       -31970            0            0            0       24.699      -1.1758           25      -8.8998       7154.1       -22021       1651.3      0.04195     -0.24881     0.017727            0      -3391.3      0.34976      0.94671    -0.057394            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.3133      0.19566     0.021547      0.17411    -0.032003      -5.8873     -0.14175      -5.7455     -0.58968     -0.12924    -0.011156     -0.11809      -6.7123      -7.6923           -1       4068.5      -747.82       -30689       4068.5      -747.82       -30689            0            0            0       24.727      -1.1418           25      -8.4736       6889.6       -20911         1510     0.042205     -0.24871     0.016925            0      -3293.1       0.3229      0.94599    -0.055429            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.2579      0.17939     0.019466      0.15993    -0.029615       -5.588     -0.12806      -5.4599     -0.56659     -0.11858   -0.0099916     -0.10859       -7.012      -7.8644           -1         3737      -692.03       -29394         3737      -692.03       -29394            0            0            0        24.75      -1.1168           25      -8.1164       6619.9       -19847       1385.5     0.042422     -0.24862     0.016101            0        -3221      0.29686       0.9448    -0.053363            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.2019      0.16434     0.018067      0.14627    -0.027323      -5.2947     -0.11886      -5.1758     -0.54308     -0.10869   -0.0092239    -0.099468      -7.3137      -8.0181           -1       3417.9      -638.46       -28085       3417.9      -638.46       -28085            0            0            0        24.77      -1.0954           25      -7.7858       6345.1       -18806       1269.9     0.042596     -0.24853     0.015253            0      -3159.3      0.27173      0.94311    -0.051197            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0      -1.1454      0.14999     0.016834      0.13316    -0.025127      -5.0042     -0.11075      -4.8934     -0.51913    -0.099283   -0.0085567    -0.090726      -7.6364      -8.1726           -1       3111.5      -587.16       -26764       3111.5      -587.16       -26764            0            0            0       24.788      -1.0747           25      -7.4606       6065.3       -17774         1160     0.042723     -0.24844     0.014381            0      -3099.6      0.24755      0.94083    -0.048935            0            0            0            0            0            0            0            0            0          294         0.58            1  
