LongerDesign-lesstriangles2-rearleft
30m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
        -30            0            0       -1.378      0.28672     0.021057      0.26566    -0.091325      0.89866     -0.10027      0.99893     -0.50931    -0.076152    -0.011451    -0.064701       -4.806      -5.6416           -1        12068      -4148.5       -62596        12068      -4148.5       -62596            0            0            0       29.371      -1.3399           30      -11.754        11568       8572.7       1729.6      0.91233     -0.24954     0.039773            0      -3864.5      0.79003      0.92142      -1.2572            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -29            0            0      -1.3364      0.26896     0.019122      0.24984      -0.0857      0.91376    -0.091056       1.0048       -0.499    -0.070973    -0.010215    -0.060758      -4.9687       -5.744           -1        11349        -3893       -60707        11349        -3893       -60707            0            0            0        29.41       -1.316           30      -11.379        11334       8716.8         1612      0.91297      -0.2494     0.038422            0      -3795.6      0.74398      0.92154      -1.2201            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -28            0            0      -1.2941      0.25213     0.017798      0.23433    -0.080236      0.92326    -0.084752        1.008     -0.48809    -0.066277   -0.0093991    -0.056878      -5.1328       -5.839           -1        10645      -3644.8       -58786        10645      -3644.8       -58786            0            0            0       29.446      -1.2946           30      -11.025        11086       8807.4       1505.3      0.91355     -0.24926     0.037042            0      -3733.8      0.69864      0.92136      -1.1822            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -27            0            0      -1.2511      0.23589     0.016718      0.21917    -0.074929      0.92869    -0.079608       1.0083     -0.47656     -0.06184   -0.0087511    -0.053089      -5.3039      -5.9326           -1         9956      -3403.7       -56833         9956      -3403.7       -56833            0            0            0       29.481      -1.2742           30      -10.677        10824       8859.1       1404.6      0.91409     -0.24912     0.035635            0      -3674.9      0.65421      0.92071      -1.1436            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -26            0            0      -1.2075      0.22013     0.015772      0.20436    -0.069792      0.93065    -0.075104       1.0057     -0.46442    -0.057563   -0.0081933     -0.04937      -5.4852      -6.0273           -1       9283.2      -3170.3       -54850       9283.2      -3170.3       -54850            0            0            0       29.514      -1.2542           30      -10.332        10548       8877.8       1307.4      0.91458       -0.249     0.034199            0      -3617.2      0.61068      0.91971      -1.1043            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -25            0            0      -1.1631      0.20488     0.014937      0.18994    -0.064823      0.92908    -0.071129       1.0002     -0.45167     -0.05345   -0.0077038    -0.045746      -5.6772      -6.1227           -1       8628.2      -2944.7       -52836       8628.2      -2944.7       -52836            0            0            0       29.545      -1.2346           30      -9.9898        10259       8862.9         1214      0.91502     -0.24887     0.032734            0      -3560.8      0.56819      0.91821      -1.0643            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -24            0            0      -1.1182      0.18999     0.014069      0.17592    -0.060032      0.92469    -0.066995      0.99168     -0.43832    -0.049413   -0.0071982    -0.042215      -5.8853      -6.2233           -1       7991.5        -2727       -50794       7991.5        -2727       -50794            0            0            0       29.576      -1.2147           30      -9.6433       9955.5         8821       1122.3      0.91541     -0.24876      0.03124            0      -3503.3      0.52682       0.9162      -1.0236            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -23            0            0      -1.0725      0.17559     0.013268      0.16233    -0.055415      0.91678     -0.06318      0.97996     -0.42432    -0.045516   -0.0067339    -0.038782      -6.1079      -6.3255           -1       7373.8      -2517.3       -48720       7373.8      -2517.3       -48720            0            0            0       29.606       -1.195           30      -9.2981       9637.5       8745.6       1033.8      0.91573     -0.24864     0.029714            0      -3446.7      0.48659      0.91352     -0.98212            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -22            0            0      -1.0263      0.16176     0.012584      0.14918     -0.05098      0.90516    -0.059924      0.96508     -0.40972     -0.04181   -0.0063517    -0.035458      -6.3442      -6.4269           -1       6776.6      -2315.8       -46619       6776.6      -2315.8       -46619            0            0            0       29.634      -1.1762           30      -8.9575       9305.9       8634.7       949.62      0.91598     -0.24853     0.028157            0      -3392.3      0.44761      0.91014     -0.94003            0            0            0            0            0            0            0            0            0          294         0.58            1  
        -21            0            0     -0.97942      0.14846      0.01198      0.13648    -0.046736      0.89002    -0.057049      0.94707      -0.3945    -0.038253     -0.00602    -0.032233      -6.5972      -6.5289           -1       6199.7        -2123       -44491       6199.7        -2123       -44491            0            0            0       29.661      -1.1578           30      -8.6193       8960.2       8490.2       868.84      0.91616     -0.24843     0.026565            0      -3339.3      0.40988      0.90609     -0.89731            0            0            0            0            0            0            0            0            0          294         0.58            1  
